{'train_risk': 0.10920000076293945, 'expected_risk': 0.14960002899169922, 'generalization': 0.040400028228759766}
{'train_risk': 0.19809997081756592, 'expected_risk': 0.22697144746780396, 'generalization': 0.028871476650238037}
{'train_risk': 0.05750000476837158, 'expected_risk': 0.11261427402496338, 'generalization': 0.0551142692565918}
{'train_risk': 0.05779999494552612, 'expected_risk': 0.11385715007781982, 'generalization': 0.0560571551322937}
{'train_risk': 0.13859999179840088, 'expected_risk': 0.17945712804794312, 'generalization': 0.040857136249542236}
{'train_risk': 0.10149997472763062, 'expected_risk': 0.1469857096672058, 'generalization': 0.045485734939575195}
{'train_risk': 0.06639999151229858, 'expected_risk': 0.12212854623794556, 'generalization': 0.05572855472564697}
{'train_risk': 0.1021999716758728, 'expected_risk': 0.14335715770721436, 'generalization': 0.04115718603134155}
{'train_risk': 0.05049997568130493, 'expected_risk': 0.1103714108467102, 'generalization': 0.05987143516540527}
{'train_risk': 0.09079998731613159, 'expected_risk': 0.13318568468093872, 'generalization': 0.04238569736480713}
{'train_risk': 0.1769999861717224, 'expected_risk': 0.20901429653167725, 'generalization': 0.032014310359954834}
{'train_risk': 0.08619999885559082, 'expected_risk': 0.13267141580581665, 'generalization': 0.04647141695022583}
{'train_risk': 0.04919999837875366, 'expected_risk': 0.10647141933441162, 'generalization': 0.05727142095565796}
{'train_risk': 0.06499999761581421, 'expected_risk': 0.11905711889266968, 'generalization': 0.05405712127685547}
{'train_risk': 0.09930002689361572, 'expected_risk': 0.14831429719924927, 'generalization': 0.049014270305633545}
{'train_risk': 0.10670000314712524, 'expected_risk': 0.15362858772277832, 'generalization': 0.046928584575653076}
{'train_risk': 0.08619999885559082, 'expected_risk': 0.13574284315109253, 'generalization': 0.04954284429550171}
{'train_risk': 0.06859999895095825, 'expected_risk': 0.12005716562271118, 'generalization': 0.05145716667175293}
{'train_risk': 0.14719998836517334, 'expected_risk': 0.1826571226119995, 'generalization': 0.03545713424682617}
{'train_risk': 0.13499999046325684, 'expected_risk': 0.1712142825126648, 'generalization': 0.03621429204940796}
{'train_risk': 0.06300002336502075, 'expected_risk': 0.11809998750686646, 'generalization': 0.0550999641418457}
{'train_risk': 0.07719999551773071, 'expected_risk': 0.1233857274055481, 'generalization': 0.04618573188781738}
{'train_risk': 0.06000000238418579, 'expected_risk': 0.1127428412437439, 'generalization': 0.052742838859558105}
{'train_risk': 0.08689999580383301, 'expected_risk': 0.1356285810470581, 'generalization': 0.0487285852432251}
{'train_risk': 0.0569000244140625, 'expected_risk': 0.11491429805755615, 'generalization': 0.05801427364349365}
{'train_risk': 0.10199999809265137, 'expected_risk': 0.15035712718963623, 'generalization': 0.04835712909698486}
{'train_risk': 0.10000002384185791, 'expected_risk': 0.1436856985092163, 'generalization': 0.0436856746673584}
{'train_risk': 0.0666000247001648, 'expected_risk': 0.11728572845458984, 'generalization': 0.05068570375442505}
{'train_risk': 0.05610001087188721, 'expected_risk': 0.11138570308685303, 'generalization': 0.05528569221496582}
{'train_risk': 0.08039999008178711, 'expected_risk': 0.13344287872314453, 'generalization': 0.05304288864135742}
{'train_risk': 0.0690000057220459, 'expected_risk': 0.12921428680419922, 'generalization': 0.06021428108215332}
{'train_risk': 0.10600000619888306, 'expected_risk': 0.1574428677558899, 'generalization': 0.051442861557006836}
{'train_risk': 0.047200024127960205, 'expected_risk': 0.11147141456604004, 'generalization': 0.06427139043807983}
{'train_risk': 0.12459999322891235, 'expected_risk': 0.16552859544754028, 'generalization': 0.04092860221862793}
{'train_risk': 0.07590001821517944, 'expected_risk': 0.12488573789596558, 'generalization': 0.04898571968078613}
{'train_risk': 0.16600000858306885, 'expected_risk': 0.20297139883041382, 'generalization': 0.03697139024734497}
{'train_risk': 0.07520002126693726, 'expected_risk': 0.12701427936553955, 'generalization': 0.051814258098602295}
{'train_risk': 0.07450002431869507, 'expected_risk': 0.12805712223052979, 'generalization': 0.05355709791183472}
{'train_risk': 0.09839999675750732, 'expected_risk': 0.14422857761383057, 'generalization': 0.04582858085632324}
{'train_risk': 0.05229997634887695, 'expected_risk': 0.10851430892944336, 'generalization': 0.056214332580566406}
{'train_risk': 0.08230000734329224, 'expected_risk': 0.1298285722732544, 'generalization': 0.04752856492996216}
{'train_risk': 0.06690001487731934, 'expected_risk': 0.12078571319580078, 'generalization': 0.053885698318481445}
{'train_risk': 0.11379998922348022, 'expected_risk': 0.15451431274414062, 'generalization': 0.0407143235206604}
{'train_risk': 0.13109999895095825, 'expected_risk': 0.17438572645187378, 'generalization': 0.04328572750091553}
{'train_risk': 0.10790002346038818, 'expected_risk': 0.1493285894393921, 'generalization': 0.041428565979003906}
